candidate_name,candidate_path,expression_similarity,frame_idx,identity_score,lighting_similarity,output_name,pose_similarity,quality_score,selected_copy_path,selected_source_path,source_id,src_area_ratio,src_brightness,src_contrast,src_det_score,src_mouth_width,src_n_faces,src_roll,src_sharpness,src_yaw_proxy,target_id,target_mouth_width,target_path,target_roll,target_yaw_proxy,total_score,video_idx
id1_0000_f00040.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,0.757723,00000,0.964288,0.93978,id0_id1_0000_00000.png,0.501266,0.412173,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0000_00000.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,id1,0.100811,91.10482,44.305996,0.79141,0.890811,1,9.240356,30.096721,0.185023,id0,0.72446,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0000_00000.png,-9.474215,0.03404,0.637324,0000
id1_0000_f00090.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00090.png,0.548406,00060,0.903034,0.931397,id0_id1_0000_00060.png,0.985687,0.433747,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0000_00060.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00090.png,id1,0.101893,92.856059,44.184967,0.80516,1.014052,1,5.269183,40.532963,-0.10294,id0,0.753743,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0000_00060.png,5.143769,-0.096022,0.648344,0000
id1_0000_f00040.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,0.745389,00120,0.964288,0.942573,id0_id1_0000_00120.png,0.367545,0.412173,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0000_00120.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,id1,0.100811,91.10482,44.305996,0.79141,0.890811,1,9.240356,30.096721,0.185023,id0,0.766733,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0000_00120.png,-10.977471,-0.02852,0.622241,0000
id1_0000_f00090.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00090.png,0.557657,00000,0.903034,0.862903,id0_id1_0001_00000.png,0.806,0.433747,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0001_00000.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00090.png,id1,0.101893,92.856059,44.184967,0.80516,1.014052,1,5.269183,40.532963,-0.10294,id0,0.779251,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0001_00000.png,-3.793477,-0.15047,0.628338,0001
id1_0000_f00040.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,0.683406,00060,0.964288,0.858566,id0_id1_0001_00060.png,0.507758,0.412173,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0001_00060.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,id1,0.100811,91.10482,44.305996,0.79141,0.890811,1,9.240356,30.096721,0.185023,id0,0.809615,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0001_00060.png,-2.369034,-0.007099,0.622765,0001
id1_0000_f00090.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00090.png,0.461643,00120,0.903034,0.929096,id0_id1_0001_00120.png,0.630969,0.433747,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0001_00120.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00090.png,id1,0.101893,92.856059,44.184967,0.80516,1.014052,1,5.269183,40.532963,-0.10294,id0,0.761096,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0001_00120.png,0.435907,-0.271287,0.599743,0001
id1_0000_f00090.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00090.png,0.57446,00000,0.903034,0.871206,id0_id1_0005_00000.png,0.889952,0.433747,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0005_00000.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00090.png,id1,0.101893,92.856059,44.184967,0.80516,1.014052,1,5.269183,40.532963,-0.10294,id0,0.805656,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0005_00000.png,-1.939124,-0.088967,0.639669,0005
id1_0000_f00040.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,0.740093,00060,0.964288,0.867923,id0_id1_0005_00060.png,0.472852,0.412173,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0005_00060.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,id1,0.100811,91.10482,44.305996,0.79141,0.890811,1,9.240356,30.096721,0.185023,id0,0.838034,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0005_00060.png,-6.651931,0.00101,0.628245,0005
id1_0000_f00040.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,0.757099,00120,0.964288,0.800723,id0_id1_0005_00120.png,0.486251,0.412173,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id1_0005_00120.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id1/id1_0000_f00040.png,id1,0.100811,91.10482,44.305996,0.79141,0.890811,1,9.240356,30.096721,0.185023,id0,0.839192,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id1_0005_00120.png,-7.508668,0.013607,0.628776,0005
id16_0000_f00090.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id16/id16_0000_f00090.png,0.979257,00000,0.944174,0.669244,id0_id16_0003_00000.png,0.828076,0.396334,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id16_0003_00000.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id16/id16_0000_f00090.png,id16,0.063189,78.065067,29.337531,0.881366,0.757895,1,-1.536312,28.732579,-0.214399,id0,0.753267,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id16_0003_00000.png,4.76911,-0.161436,0.677552,0003
id16_0000_f00120.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id16/id16_0000_f00120.png,0.899696,00060,0.963676,0.692755,id0_id16_0003_00060.png,0.694727,0.407117,/data1/liyichen/document/frame_extract_workspace/work/selected_sources_per_target/id0_id16_0003_00060.png,/data1/liyichen/document/frame_extract_workspace/work/source_candidates/id16/id16_0000_f00120.png,id16,0.060126,82.490196,29.378064,0.880944,0.767118,1,3.825215,36.598802,-0.381145,id0,0.821415,/data1/liyichen/document/frame_extract_workspace/work/target_frames/id0_id16_0003_00060.png,18.97723,-0.311953,0.663187,0003
